year,metarea,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,312,6082,121640,98552.35,44946.12,0.219,0.08,0.031,0.013,0.549,0.239,0.723,219815.179,208737.891,-2448.913,53420.58,63463.215,0.613,0.387,NA,NA,0.209,0.798,0.201,0,0.173,3.435,44.411,2345.181,0.019,0.023,0.013,0.003,0.011,0.386,0.014,0.021,0.026
1960,316,2899,57980,96646.064,37315.269,0.28,0.106,0.043,0.018,0.609,0.055,0.78,318404.343,186449.366,-1608.255,47779.401,56995.434,0.6,0.4,NA,NA,0.182,0.843,0.156,0,0.17,3.461,44.503,4123.191,0.026,0.027,0.01,0.004,0.017,0.002,0.022,0.024,0.021
1960,320,2695,53900,131506.175,65256.713,0.239,0.097,0.039,0.016,0.526,0.089,0.71,326801.144,246807.17,0,63003.806,86128.002,0.673,0.327,NA,NA,0.164,0.954,0.044,0,0.126,3.462,45.076,5453.083,0.028,0.013,0.005,0.002,0.02,0.004,0.025,0.023,0.013
1960,324,4272,85440,107836.996,58159.062,0.19,0.078,0.032,0.013,0.484,0.097,0.666,232341.986,219497.386,0,56376.581,75596.335,0.662,0.338,NA,NA,0.173,0.941,0.059,0,0.185,3.202,47.131,509.323,0.003,0.003,0.001,0.001,0.002,0,0.003,0.004,0.019
1960,328,7828,156560,156238.751,59979.793,0.264,0.109,0.044,0.018,0.585,0.05,0.778,511340.98,298501.102,0,68131.85,92936.813,0.519,0.481,NA,NA,0.232,0.954,0.045,0,0.163,3.231,46.997,7672.728,0.027,0.014,0.006,0.002,0.021,0.003,0.027,0.024,0.007
1960,332,5601,112020,141328.999,29148.484,0.239,0.094,0.038,0.016,0.602,0.026,0.788,338957.757,323532.524,-2479.506,67801.258,84631.678,0.377,0.623,NA,NA,0.232,0.413,0.009,0.004,0.137,3.941,41.518,2625.155,0.011,0.013,0.005,0.002,0.007,0,0.01,0.011,0.016
1960,336,17865,357300,119900.91,49988.529,0.261,0.104,0.042,0.017,0.584,0.068,0.759,384514.483,235237.163,-2298.648,60926.065,69755.423,0.64,0.36,NA,NA,0.276,0.812,0.186,0,0.159,3.376,43.678,3943.865,0.019,0.008,0.003,0.001,0.014,0.002,0.018,0.014,0.016
1960,340,1512,30240,87561.235,42908.372,0.207,0.088,0.038,0.02,0.507,0.254,0.684,217844.871,182006.314,0,45666.773,57433.177,0.683,0.317,NA,NA,0.125,0.972,0.028,0,0.148,3.46,47.439,3077.991,0.027,0.023,0.008,0.011,0.017,0.364,0.021,0.027,0.023
1960,348,10134,202680,122207.02,57773.767,0.225,0.087,0.035,0.014,0.539,0.078,0.721,390873.595,242923.411,0,63915.44,74796.989,0.627,0.373,NA,NA,0.224,0.873,0.126,0,0.184,3.239,46.436,2394.19,0.014,0.012,0.005,0.002,0.009,0.002,0.011,0.015,0.023
1960,352,1787,35740,138174.317,70148.954,0.228,0.086,0.036,0.015,0.517,0.111,0.686,318550.31,262581.93,5126.193,61619.409,81505.35,0.767,0.233,NA,NA,0.18,0.97,0.03,0,0.148,3.365,47.837,6681.46,0.033,0.025,0.009,0.003,0.023,0.005,0.029,0.028,0.023
1960,359,2955,59100,72695.761,28644.938,0.212,0.072,0.03,0.014,0.565,0.216,0.754,161043.086,165947.108,-3454.084,44279.664,42144.058,0.471,0.529,NA,NA,0.136,0.647,0.353,0,0.271,3.158,47.64,2182.04,0.024,0.027,0.01,0.003,0.013,0.422,0.017,0.029,0.023
1960,368,3740,74800,76744.969,39534.938,0.189,0.077,0.033,0.013,0.5,0.091,0.678,191600.323,162803.728,0,42420.575,51218.421,0.657,0.343,NA,NA,0.091,0.989,0.011,0,0.152,3.488,48.919,1133.666,0.012,0.012,0.007,0.003,0.007,0.001,0.009,0.013,0.015
1960,372,2203,44060,132878.515,69400.413,0.239,0.1,0.041,0.016,0.52,0.107,0.701,393867.059,231108.867,4268.478,62034.991,88194.107,0.74,0.26,NA,NA,0.26,0.969,0.029,0,0.154,3.324,45.547,5653.649,0.031,0.016,0.007,0.003,0.021,0.005,0.025,0.029,0.012
1960,376,14547,290940,118597.688,57264.805,0.223,0.091,0.037,0.015,0.541,0.076,0.72,295698.213,237903.46,-1328.074,59991.327,74111.318,0.631,0.369,NA,NA,0.244,0.889,0.11,0,0.185,3.109,46.684,419.822,0.002,0.002,0.001,0,0.002,0,0.002,0.002,0.019
1960,380,1330,26600,118225.892,66725.607,0.155,0.056,0.026,0.014,0.459,0.264,0.631,202740.405,251680.276,5161.328,63966.061,76730.087,0.655,0.345,NA,NA,0.132,0.992,0.006,0.001,0.123,3.41,46.037,4018.479,0.025,0.02,0.004,0.007,0.018,0.349,0.022,0.024,0.031
1960,384,4300,86000,84568.589,40717.79,0.183,0.063,0.025,0.011,0.51,0.252,0.677,161564.465,185244.801,0,46556.082,53323.975,0.665,0.335,NA,NA,0.193,0.923,0.077,0,0.168,3.425,46.649,2520.686,0.024,0.027,0.012,0.004,0.015,0.367,0.019,0.026,0.027
1960,396,1889,37780,89066.363,43282.003,0.189,0.063,0.029,0.014,0.517,0.25,0.684,171233.492,195952.27,0,48456.742,70396.271,0.664,0.336,NA,NA,0.19,0.811,0.188,0,0.134,3.684,42.332,2756.133,0.025,0.028,0.006,0.005,0.015,0.37,0.019,0.025,0.029
1960,400,3869,77380,106478.09,61954.989,0.166,0.059,0.024,0.01,0.456,0.105,0.639,218249.233,226046.95,0,54065.042,69602.33,0.662,0.338,NA,NA,0.133,0.988,0.012,0,0.143,3.375,47.027,1940.088,0.016,0.019,0.007,0.003,0.01,0.002,0.012,0.016,0.024
1960,404,4089,81780,133460.025,70018.484,0.223,0.094,0.038,0.015,0.497,0.107,0.689,405765.923,256128.064,4246.906,61346.835,83167.211,0.743,0.257,NA,NA,0.252,0.978,0.019,0,0.142,3.396,45.879,5821.923,0.033,0.017,0.007,0.003,0.022,0.005,0.027,0.031,0.01
1960,408,688,13760,75121.035,26992.202,0.33,0.151,0.061,0.025,0.659,0.049,0.814,275613.32,129830.793,0,36039.378,33114.943,0.565,0.435,NA,NA,0.156,0.999,0.001,0,0.202,4.312,46.438,7183.926,0.063,0.04,0.016,0.007,0.034,0.005,0.046,0.058,0.007
1960,412,1932,38640,108060.962,50920.603,0.192,0.069,0.03,0.015,0.518,0.241,0.7,209912.765,235243.791,-2687.711,65177.742,67958.533,0.542,0.458,NA,NA,0.254,0.924,0.065,0.001,0.125,3.103,42.878,3003.468,0.021,0.027,0.006,0.003,0.013,0.383,0.017,0.021,0.027
1960,428,1848,36960,115637.897,44010.805,0.218,0.086,0.036,0.015,0.575,0.043,0.768,445718.803,260767.87,-3208.293,56050.355,69624.561,0.541,0.459,NA,NA,0.309,0.847,0.15,0,0.175,3.199,45.607,2819.318,0.017,0.016,0.004,0.002,0.01,0.001,0.014,0.015,0.017
1960,432,745,14900,70216.089,51535.813,0.082,0.022,0.016,0.014,0.394,0.735,0.581,84990.195,174631.363,0,46632.455,54699.361,0.6,0.4,NA,NA,0.146,0.911,0.089,0,0.227,3.201,49.235,1639.238,0.021,0.015,0.002,0.003,0.012,0.354,0.015,0.02,0.014
1960,436,2232,44640,95754.326,46711.94,0.18,0.065,0.026,0.012,0.506,0.241,0.69,182415.334,219189.801,-2557.932,53701.016,61402.74,0.588,0.412,NA,NA,0.307,0.986,0.012,0,0.177,3.101,45.703,2500.213,0.02,0.018,0.008,0.003,0.013,0.383,0.017,0.019,0.026
